id,appointmentId,serviceId,professionalId,durationMin,price
cmrzdt6mu001sld01h71ejv86,cmrzdt6mu001qld01o8ymgefb,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cmrzdturg002eld016fahe19j,cmrzdturg002cld01jvq3yaav,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms68yjo4002wk101pnxy1gxh,cms68yjo4002uk101i8enmmke,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cms90pfak004slg01208wlx7w,cms90pfak004qlg0125321oql,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cms68zd3r003ak101z17c8qj2,cms68zd3r0038k101x576x9j7,cmrz6rfvf000umu01vvw4yvwn,cmryy224m001vjx019lztz3hy,15,3.00
cms90se1h0050lg01xakssdsm,cms90se1h004ylg0143yec2l2,cmrz6rfvf000umu01vvw4yvwn,cmryy3n3s0001w5ljc6zmg8xx,15,3.00
cms6a0y4y000qms01eunyz51e,cms6a0y4y000oms01wdi1ns2v,cmrz6rfvf000umu01vvw4yvwn,cmryy224m001vjx019lztz3hy,15,3.00
cms90se1h0051lg018xm909pf,cms90se1h004ylg0143yec2l2,cmrz69xck000imu01zczlmxt0,cmryy3n3s0001w5ljc6zmg8xx,15,2.00
cms3vsxh8005kjy01gmsv5a32,cms3vsxh7005ijy01ov0g8un0,cmrz6rfvf000umu01vvw4yvwn,cmryy3o4h0008w5lj87ierjyj,15,3.00
cms6aan4d001wms01b57bh3n2,cms6aan4d001ums01whksv7s3,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cms4vl9eb001gmt010q40qidq,cms4vl9eb001emt018tilwmf2,cmrz69xck000imu01zczlmxt0,cmryy3o4h0008w5lj87ierjyj,15,2.00
cmrz8g58b000ymu01j07zad78,cmrz8g58b000wmu0137sw5rm7,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cmrz8g5hx0016mu01t358fd1k,cmrz8g5hx0014mu01st76p0ag,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cmrz8iv88002amu0196n4f88w,cmrz8iv880028mu01awzopwgu,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms4xmr7v000qmo01lyz7yvjt,cms4xmr7v000omo01u8llrl69,cmrz69xck000imu01zczlmxt0,cmryy3o4h0008w5lj87ierjyj,15,2.00
cmrz8i3tm001omu01jxn5qhrm,cmrz8i3tm001mmu01nomgzitt,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cmrz8iuyw0024mu01ona9es7j,cmrz8iuyw0022mu012mm4b1zx,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cmrz9vjc20030mu01u0l5b40i,cmrz9vjc2002ymu01yc0ylts3,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms5g6c9l0015mv01bbmu1d3r,cms5g6c9l0013mv01cawzlpnl,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cms6lwmky00w0ms01uy4s47kd,cms6lwmky00vyms015htuw1xo,cmrz6rfvf000umu01vvw4yvwn,cmryy3ou0000fw5ljese58caj,15,3.00
cmrzd7kjj000kld01cdfdd8g1,cmrzd7kjj000ild01qpovt9np,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms65dr9g001ek101b4v8ujb4,cms65dr9g001ck101f22f16a7,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cms6ng8nm000kmm01ns3xi9vg,cms6ng8nm000imm014dorxfat,cmrz6rfvf000umu01vvw4yvwn,cmryy224m001vjx019lztz3hy,15,3.00
cms65k6gy0020k101u90l9puu,cms65k6gx001yk1012umb0scg,cms5fig0d0020lh01k6zt05sa,cmryy224m001vjx019lztz3hy,60,100.00
cmrzdeqbb000yld01bxcdzm8f,cmrzdeqbb000wld016r2o7f14,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms68ezdv0018k101e2435rny,cms68ezdv0016k101clrai8do,cmrz6rfvf000umu01vvw4yvwn,cmryy224m001vjx019lztz3hy,15,3.00
cmrzdmc94001cld015l0myvda,cmrzdmc94001ald01bjtdvg6p,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
cms68hkzq001wk101ojmpkuh0,cms68hkzq001uk101ez4gjldo,cmrz6rfvf000umu01vvw4yvwn,cmryy224m001vjx019lztz3hy,15,3.00
cms68ievs002ak101hsfom5fc,cms68ievs0028k10137zf5omu,cmrz69xck000imu01zczlmxt0,cmryy224m001vjx019lztz3hy,15,2.00
