id,appointmentId,status,netTotal
cms66zn9c000omq014bmhk6a2,cms65dr9g001ck101f22f16a7,open,100.00
cms670530000smq01oi4xyta0,cms5g6c9l0013mv01cawzlpnl,open,100.00
cms676vie0016mq01istp3150,cms3vsxh7005ijy01ov0g8un0,open,3.00
cms678ajp001amq01hy6e5fbz,cms4xmr7v000omo01u8llrl69,open,2.00
cms6846sx0010k1017ri21oj6,cmrzdmc94001ald01bjtdvg6p,open,0.00
cms68ag0c0012k1019vvsnozx,cms4vl9eb001emt018tilwmf2,open,2.00
cms68fvkc001mk10152zdhp0q,cms68ezdv0016k101clrai8do,open,3.00
cms68gez8001qk101axtw9y3z,cms65k6gx001yk1012umb0scg,open,100.00
cms68ht780024k1015rjlmp3q,cms68hkzq001uk101ez4gjldo,open,3.00
cms68itvt002mk101mzt4loza,cms68ievs0028k10137zf5omu,open,2.00
cms68yjw00034k101b7xbgr6k,cms68yjo4002uk101i8enmmke,open,100.00
cms690dp5003ik101qaobjbfe,cms68zd3r0038k101x576x9j7,open,3.00
cms6nu0m7000smm01f3lgq3fs,cms6a0y4y000oms01wdi1ns2v,open,3.00
